p_end,e_end,log_likelihood,delta_log_likelihood
0.55925,0.23750000000000002,-48877.84174801823,4.752378615587077
0.55925,0.24375000000000002,-48875.777649305855,2.6882799032100593
0.55925,0.25,-48874.687760420515,1.5983910178692895
0.55925,0.25625000000000003,-48874.55423619384,1.4648667911969824
0.55925,0.2625,-48875.35992089425,2.270551491601509
0.55925,0.26875000000000004,-48877.08831199517,3.9989425925232354
0.55925,0.275,-48879.723526412185,6.634157009539194
0.55925,0.28125,-48883.25026900387,10.1608996012219
0.55925,0.28750000000000003,-48887.65380315152,14.56443374887749
0.55925,0.29375,-48892.91992325075,19.83055384810723
0.55925,0.30000000000000004,-48899.034928963185,25.94555956053955
0.55925,0.30625,-48905.98560109136,32.89623168871185
0.55925,0.3125,-48913.75917895198,40.66980954933388
0.55925,0.31875000000000003,-48922.343339134066,49.25396973142051
0.55925,0.325,-48931.7261755387,58.636806136055384
0.55925,0.33125000000000004,-48941.89618060618,68.80681120353256
0.55925,0.3375,-48952.84222764444,79.75285824179446
0.55925,0.34375,-48964.55355418005,91.46418477740372
0.55925,0.35000000000000003,-48977.01974625951,103.93037685686431
0.55925,0.35625,-48990.23072363497,117.14135423232801
0.55925,0.36250000000000004,-49004.17672577351,131.08735637086647
0.55925,0.36875,-49018.84829863414,145.75892923149513
0.55925,0.375,-49034.23628216137,161.1469127587261
0.55925,0.38125000000000003,-49050.33179844784,177.24242904519633
0.55925,0.3875,-49067.12624052259,194.03687111994805
0.55925,0.39375000000000004,-49084.61126172452,211.5218923218781
0.55925,0.4,-49102.778765623974,229.68939622132893
0.55925,0.40625,-49121.620896457986,248.53152705534012
0.55925,0.41250000000000003,-49141.13003004726,268.0406606446122
0.55925,0.41875,-49161.2987651655,288.2093957628531
0.55925,0.42500000000000004,-49182.119915333475,309.03054593082925
0.55925,0.43125,-49203.58650101253,330.49713160988176
0.55925,0.4375,-49225.69174217395,352.60237277130364
0.55925,0.44375000000000003,-49248.429051221996,375.3396818193505
0.55925,0.45,-49271.79202625026,398.702656847614
0.55925,0.45625000000000004,-49295.77444461232,422.6850752096725
0.55925,0.4625,-49320.37025678881,447.280887386165
0.55925,0.46875,-49345.57358053432,472.4842111316757
0.55925,0.47500000000000003,-49371.37869528872,498.2893258860713
0.55925,0.48125,-49397.7800368383,524.6906674356578
0.55925,0.48750000000000004,-49424.77219221332,551.6828228106751
0.55925,0.49375,-49452.349894809144,579.2605254064983
0.55925,0.5,-49480.508019719244,607.4186503165984
0.55925,0.5062500000000001,-49509.24157926879,636.1522098661444
0.55925,0.5125,-49538.5457187385,665.4563493358582
0.55925,0.51875,-49568.41571226899,695.3263428663413
0.55925,0.525,-49598.84695893622,725.7575895335758
0.55925,0.53125,-49629.83497898972,756.745609587073
0.55925,0.5375000000000001,-49661.375410245135,788.2860408424895
0.55925,0.54375,-49693.464004623675,820.3746352210292
0.55925,0.55,-49726.096624831225,853.0072554285798
0.55925,0.55625,-49759.26924117029,886.1798717676429
0.55925,0.5625,-49792.97792847839,919.8885590757418
0.55925,0.5687500000000001,-49827.21886318695,954.1294937843049
0.55925,0.575,-49861.988320494966,988.8989510923202
0.55925,0.58125,-49897.28267165203,1024.1933022493831
0.55925,0.5875,-49933.09838134576,1060.0090119431115
0.55925,0.59375,-49969.43200518875,1096.3426357861026
0.55925,0.6000000000000001,-50006.28018730056,1133.1908178979138
0.55925,0.60625,-50043.639657980435,1170.5502885777896
0.55925,0.6125,-50081.50723146678,1208.4178620641324
0.55925,0.61875,-50119.87980377945,1246.7904343768023
0.55925,0.625,-50158.75435064126,1285.6649812386167
0.55925,0.6312500000000001,-50198.12792547536,1325.0385560727154
0.55925,0.6375,-50237.99765747504,1364.9082880723945
0.55925,0.64375,-50278.360749743006,1405.2713803403603
0.55925,0.65,-50319.21447749714,1446.125108094493
0.55925,0.65625,-50360.55618633996,1487.466816937318
0.55925,0.6625000000000001,-50402.383290589176,1529.2939211865305
0.55925,0.66875,-50444.69327166662,1571.6039022639743
0.55925,0.675,-50487.48367654349,1614.394307140843
0.55925,0.68125,-50530.752116239426,1657.6627468367806
0.55925,0.6875,-50574.49626437316,1701.406894970518
0.55925,0.6937500000000001,-50618.71385576295,1745.624486360306
0.55925,0.7,-50663.402685074645,1790.3133156719996
0.55925,0.70625,-50708.56060551548,1835.4712361128331
0.55925,0.7125000000000001,-50754.18552757205,1881.0961581694064
0.55925,0.71875,-50800.27541779053,1927.1860483878845
0.55925,0.7250000000000001,-50846.828297597574,1973.738928194929
0.55925,0.73125,-50893.84224216053,2020.7528727578829
0.55925,0.7375,-50941.31537928522,2068.226009882572
0.55925,0.7437500000000001,-50989.245888350124,2116.1565189474786
0.55925,0.75,-51037.63199927544,2164.542629872798
0.55925,0.7562500000000001,-51086.47199152598,2213.382622123332
0.55925,0.7625,-51135.76419314634,2262.6748237436914
0.55925,0.76875,-51185.5069798275,2312.4176104248545
0.55925,0.7750000000000001,-51235.698774003584,2362.6094046009384
