detection,false_alarm,disengaged_override,feasible_equivalent,equivalent_e_start,equivalent_e_end,override_start,override_end,identification_diagnostic_improvement_path_end,identification_diagnostic_equivalent_path_end
0.5,0.01,0.0,True,0.9,0.3005825242718447,0.1854,0.06192,0.0688,0.20600000000000002
0.5,0.01,0.04,True,0.9,0.15614457831325304,0.1894,0.06592,0.0288,0.166
0.5,0.01,0.1,False,0.9,-0.2649056603773585,0.19540000000000002,0.07192,0.031200000000000006,0.10600000000000001
0.5,0.05,0.0,True,0.9,0.4069565217391305,0.20700000000000002,0.09360000000000002,0.10400000000000001,0.23
0.5,0.05,0.04,True,0.9,0.3031578947368422,0.21100000000000002,0.09760000000000002,0.064,0.19
0.5,0.05,0.1,True,0.9000000000000001,0.027692307692307738,0.21700000000000003,0.10360000000000001,0.0040000000000000036,0.13
0.5,0.15,0.0,True,0.9000000000000001,0.5958620689655172,0.26100000000000007,0.1728,0.192,0.29000000000000004
0.5,0.15,0.04,True,0.9,0.5471999999999999,0.26500000000000007,0.1768,0.152,0.25000000000000006
0.5,0.15,0.1,True,0.9000000000000002,0.4357894736842105,0.2710000000000001,0.18280000000000002,0.092,0.19000000000000003
0.75,0.01,0.0,True,0.8999999999999999,0.2905882352941176,0.27540000000000003,0.08892,0.0988,0.30600000000000005
0.75,0.01,0.04,True,0.8999999999999999,0.1989473684210526,0.27940000000000004,0.09292,0.0588,0.26600000000000007
0.75,0.01,0.1,False,0.9,-0.005242718446601996,0.28540000000000004,0.09892,0.0012000000000000066,0.20600000000000004
0.75,0.05,0.0,True,0.9000000000000001,0.3654545454545454,0.2970000000000001,0.12060000000000001,0.134,0.33000000000000007
0.75,0.05,0.04,True,0.9000000000000001,0.2917241379310344,0.3010000000000001,0.12460000000000002,0.094,0.2900000000000001
0.75,0.05,0.1,True,0.9000000000000001,0.1330434782608696,0.3070000000000001,0.13060000000000002,0.034,0.23000000000000007
0.75,0.15,0.0,True,0.9,0.5123076923076924,0.35100000000000003,0.1998,0.222,0.39
0.75,0.15,0.04,True,0.9000000000000001,0.46799999999999997,0.35500000000000004,0.2038,0.182,0.35000000000000003
0.75,0.15,0.1,True,0.8999999999999999,0.37862068965517237,0.36100000000000004,0.20980000000000001,0.122,0.29000000000000004
0.9,0.01,0.0,True,0.8999999999999999,0.28721311475409833,0.3294,0.10512,0.1168,0.36600000000000005
0.9,0.01,0.04,True,0.8999999999999999,0.2120245398773006,0.33340000000000003,0.10912000000000001,0.07680000000000001,0.32600000000000007
0.9,0.01,0.1,True,0.9,0.056842105263157874,0.33940000000000003,0.11512,0.016799999999999995,0.266
0.9,0.05,0.0,True,0.9,0.3507692307692308,0.35100000000000003,0.1368,0.152,0.39
0.9,0.05,0.04,True,0.9000000000000001,0.288,0.35500000000000004,0.1408,0.11199999999999999,0.35000000000000003
0.9,0.05,0.1,True,0.8999999999999999,0.16137931034482758,0.36100000000000004,0.1468,0.05199999999999999,0.29000000000000004
0.9,0.15,0.0,True,0.9,0.4799999999999999,0.4050000000000001,0.216,0.24,0.45000000000000007
0.9,0.15,0.04,True,0.9,0.43902439024390233,0.4090000000000001,0.22,0.19999999999999998,0.4100000000000001
0.9,0.15,0.1,True,0.8999999999999999,0.35999999999999993,0.4150000000000001,0.226,0.13999999999999999,0.3500000000000001
