scenario,period,model_accuracy,engagement,detection,proxy_sensitivity_actual,proxy_false_positive_actual,expected_override_rate,expected_proxy_rate
improvement_only,0,0.6,0.9,0.75,0.9,0.1,0.3010000000000001,0.8200000000000001
improvement_only,1,0.6121739130434782,0.9,0.75,0.9,0.1,0.29333043478260873,0.8200000000000001
improvement_only,2,0.6243478260869565,0.9,0.75,0.9,0.1,0.28566086956521736,0.8200000000000001
improvement_only,3,0.6365217391304347,0.9,0.75,0.9,0.1,0.2779913043478261,0.8200000000000001
improvement_only,4,0.648695652173913,0.9,0.75,0.9,0.1,0.27032173913043483,0.8200000000000001
improvement_only,5,0.6608695652173913,0.9,0.75,0.9,0.1,0.2626521739130435,0.8200000000000001
improvement_only,6,0.6730434782608695,0.9,0.75,0.9,0.1,0.2549826086956522,0.8200000000000001
improvement_only,7,0.6852173913043478,0.9,0.75,0.9,0.1,0.2473130434782609,0.8200000000000001
improvement_only,8,0.697391304347826,0.9,0.75,0.9,0.1,0.2396434782608696,0.8200000000000001
improvement_only,9,0.7095652173913043,0.9,0.75,0.9,0.1,0.23197391304347834,0.8200000000000001
improvement_only,10,0.7217391304347827,0.9,0.75,0.9,0.1,0.22430434782608694,0.8200000000000001
improvement_only,11,0.7339130434782608,0.9,0.75,0.9,0.1,0.2166347826086957,0.8200000000000001
improvement_only,12,0.7460869565217392,0.9,0.75,0.9,0.1,0.20896521739130433,0.8200000000000001
improvement_only,13,0.7582608695652173,0.9,0.75,0.9,0.1,0.2012956521739131,0.8200000000000001
improvement_only,14,0.7704347826086957,0.9,0.75,0.9,0.1,0.19362608695652173,0.8200000000000001
improvement_only,15,0.782608695652174,0.9,0.75,0.9,0.1,0.1859565217391304,0.8200000000000001
improvement_only,16,0.7947826086956522,0.9,0.75,0.9,0.1,0.17828695652173912,0.8200000000000001
improvement_only,17,0.8069565217391305,0.9,0.75,0.9,0.1,0.17061739130434783,0.8200000000000001
improvement_only,18,0.8191304347826087,0.9,0.75,0.9,0.1,0.16294782608695652,0.8200000000000001
improvement_only,19,0.831304347826087,0.9,0.75,0.9,0.1,0.1552782608695652,0.8200000000000001
improvement_only,20,0.8434782608695652,0.9,0.75,0.9,0.1,0.1476086956521739,0.8200000000000001
improvement_only,21,0.8556521739130435,0.9,0.75,0.9,0.1,0.13993913043478262,0.8200000000000001
improvement_only,22,0.8678260869565217,0.9,0.75,0.9,0.1,0.1322695652173913,0.8200000000000001
improvement_only,23,0.88,0.9,0.75,0.9,0.1,0.12460000000000002,0.8200000000000001
exact_equivalent_disengagement,0,0.6,0.9000000000000001,0.75,0.9,0.1,0.3010000000000001,0.8200000000000002
exact_equivalent_disengagement,1,0.6,0.8735532233883058,0.75,0.9,0.1,0.29333043478260873,0.7988425787106447
exact_equivalent_disengagement,2,0.6,0.8471064467766113,0.75,0.9,0.1,0.28566086956521736,0.7776851574212891
exact_equivalent_disengagement,3,0.6,0.8206596701649173,0.75,0.9,0.1,0.2779913043478261,0.7565277361319338
exact_equivalent_disengagement,4,0.6,0.7942128935532233,0.75,0.9,0.1,0.27032173913043483,0.7353703148425786
exact_equivalent_disengagement,5,0.6,0.7677661169415291,0.75,0.9,0.1,0.26265217391304346,0.7142128935532233
exact_equivalent_disengagement,6,0.6,0.7413193403298349,0.75,0.9,0.1,0.2549826086956522,0.693055472263868
exact_equivalent_disengagement,7,0.6,0.7148725637181408,0.75,0.9,0.1,0.24731304347826089,0.6718980509745126
exact_equivalent_disengagement,8,0.6,0.6884257871064466,0.75,0.9,0.1,0.23964347826086957,0.6507406296851573
exact_equivalent_disengagement,9,0.6,0.6619790104947526,0.75,0.9,0.1,0.23197391304347828,0.6295832083958021
exact_equivalent_disengagement,10,0.6,0.6355322338830581,0.75,0.9,0.1,0.2243043478260869,0.6084257871064465
