p_start,p_end,e_start,e_end,override_path_rmse,override_path_max_abs,delta_p,delta_e,trajectory_trend_pattern
0.6,0.8805538073526329,0.9,0.9022629977921279,5.474026068584569e-05,0.00013705412507009074,0.2805538073526329,0.0022629977921279076,improvement_only
0.6,0.8808975626816655,0.9,0.9031362210585492,0.0001032472679524782,0.0002726301784341939,0.28089756268166555,0.00313622105854916,improvement_only
0.6,0.8789702683328555,0.9,0.8953688720781905,0.0001042562977838309,0.00021006675229792715,0.27897026833285554,-0.00463112792180953,improvement_only
0.6,0.6016057727437877,0.9,0.294044337284986,0.00013252095991901324,0.00034233994505179777,0.0016057727437877034,-0.605955662715014,disengagement_only
0.6,0.5971250008236144,0.9,0.28925738602729023,0.00016792568109612194,0.00024412686734914812,-0.002874999176385562,-0.6107426139727098,disengagement_only
0.6,0.6013103109105671,0.9,0.2921522060245948,0.00017250635490227332,0.0002203422383998399,0.001310310910567103,-0.6078477939754052,disengagement_only
0.6,0.6030462189902072,0.9,0.2955682183976479,0.00018293556274441095,0.000484527471468682,0.0030462189902071835,-0.6044317816023521,disengagement_only
0.6,0.8800037255430968,0.9,0.8978338830558141,0.00018478326221842506,0.00023409178183830814,0.2800037255430968,-0.002166116944185892,improvement_only
0.6,0.6013330463779302,0.9,0.2920520399195221,0.00019248183213228356,0.00024440348048287985,0.0013330463779301915,-0.6079479600804779,disengagement_only
0.6,0.8778860508766899,0.9,0.8913831833323855,0.00020488517610286097,0.0005090563225014222,0.27788605087668994,-0.00861681666761449,improvement_only
0.6,0.5971373496568095,0.9,0.2876906809748255,0.00022782931438795702,0.000593212038662902,-0.0028626503431904426,-0.6123093190251745,disengagement_only
0.6,0.8792413537093021,0.9,0.8993924904778896,0.00022960038168035821,0.0004205186486694046,0.27924135370930214,-0.0006075095221104165,improvement_only
0.6,0.8791558573240156,0.9,0.8990041099215861,0.0002299012240852635,0.0004376077471782147,0.2791558573240156,-0.0009958900784139413,improvement_only
0.6,0.8800468570665533,0.9,0.8974771598837994,0.00023029436787548428,0.0002927716352125187,0.2800468570665533,-0.002522840116200631,improvement_only
0.6,0.600580368022551,0.9,0.29093101115173714,0.00023871342665536259,0.00034819970494487373,0.0005803680225510144,-0.6090689888482629,disengagement_only
0.6,0.5959479303976697,0.9,0.28648376978242224,0.00026619470576066186,0.0007071102405301344,-0.004052069602330288,-0.6135162302175778,disengagement_only
0.6,0.5967532797058981,0.9,0.28960567532085135,0.0002679995722155066,0.00036902568917257517,-0.0032467202941018902,-0.6103943246791487,disengagement_only
0.6,0.8826681186825465,0.9,0.9125050293268467,0.00028674113804151563,0.0005287974449416227,0.2826681186825465,0.012505029326846717,improvement_only
0.6,0.5996167427460569,0.9,0.2896294614273631,0.0002874151141258273,0.000529754371631358,-0.000383257253943059,-0.6103705385726369,disengagement_only
