actual_proxy_sensitivity,actual_proxy_false_positive,actual_proxy_separation,assumed_proxy_sensitivity,assumed_proxy_false_positive,true_delta_e,expected_corrected_delta_e,expected_bias,inverse_proxy_separation_squared,identified
0.7,0.02,0.6799999999999999,0.9,0.1,-0.6082758620689657,-0.5170344827586207,0.09124137931034493,2.1626297577854676,True
0.7,0.1,0.6,0.9,0.1,-0.6082758620689657,-0.4562068965517242,0.15206896551724147,2.7777777777777777,True
0.7,0.25,0.44999999999999996,0.9,0.1,-0.6082758620689657,-0.3421551724137931,0.26612068965517255,4.938271604938272,True
0.9,0.02,0.88,0.9,0.1,-0.6082758620689657,-0.6691034482758621,-0.060827586206896433,1.2913223140495869,True
0.9,0.1,0.8,0.9,0.1,-0.6082758620689657,-0.6082758620689657,0.0,1.5624999999999998,True
0.9,0.25,0.65,0.9,0.1,-0.6082758620689657,-0.4942241379310346,0.11405172413793108,2.3668639053254434,True
0.98,0.02,0.96,0.9,0.1,-0.6082758620689657,-0.7299310344827588,-0.12165517241379309,1.0850694444444444,True
0.98,0.1,0.88,0.9,0.1,-0.6082758620689657,-0.6691034482758621,-0.060827586206896433,1.2913223140495869,True
0.98,0.25,0.73,0.9,0.1,-0.6082758620689657,-0.5550517241379311,0.05322413793103453,1.8765246762994936,True
